"State_Name","Constituency_No","Constituency_Name","Year","Assembly_No","Electors","Turnout","ENOP","volatility","incumb_change","state_incumb_change","nat_incumb_change"
"Andhra_Pradesh",13,"SALUR",2014,14,175174,76.98,2.44,0,0,0,0
"Andhra_Pradesh",13,"SALUR",2019,15,190936,79.46,2.38,10.87,4.42,-5.08,0
"Andhra_Pradesh",13,"UNUKURU",1989,9,130108,74.54,2,0,0,0,0
"Andhra_Pradesh",13,"VUNUKURU",1983,7,100435,74.16,1.92,0,0,0,0
"Andhra_Pradesh",13,"VUNUKURU",1985,8,107498,69.97,1.89,66.265,-60.27,-60.27,-2.79
"Andhra_Pradesh",13,"VUNUKURU",1994,10,139498,76.23,2.17,23.62,-19.9,-19.9,20.45
"Andhra_Pradesh",13,"VUNUKURU",1999,11,154357,70.41,2.17,11.055,-7.88,6.69,-7.88
"Andhra_Pradesh",13,"VUNUKURU",2004,12,148593,76.04,2.04,4.2,1.61,1.61,0
"Andhra_Pradesh",14,"BANSWADA",2011,13,161732,75.97,1.89,0,0,0,0
"Andhra_Pradesh",14,"BOBBILI",2014,14,211986,79.38,2.17,0,0,0,0
"Andhra_Pradesh",14,"BOBBILI",2019,15,220854,78.99,2.33,5.715,-0.969999999999999,-1.63,0
"Andhra_Pradesh",14,"PALAKONDA",1983,7,81920,67.01,2.08,0,0,0,0
"Andhra_Pradesh",14,"PALAKONDA",1985,8,87059,62.69,1.79,69.35,-65.62,-65.62,-0.990000000000002
"Andhra_Pradesh",14,"PALAKONDA",1989,9,104918,67.1,2.08,23.14,-21.27,-21.27,22.35
"Andhra_Pradesh",14,"PALAKONDA",1994,10,111068,66.25,2,17.16,-15.99,-15.99,-15.99
"Andhra_Pradesh",14,"PALAKONDA",1999,11,120726,60.73,3.23,36.955,-30.81,-30.81,-2.36
"Andhra_Pradesh",14,"PALAKONDA",2004,12,109291,72.6,2.27,29.19,-27.42,21.89,0
"Andhra_Pradesh",15,"ALLAGADDA",2014,14,189401,0,0,0,0,0,0
"Andhra_Pradesh",15,"AMADALAVALASA",1983,7,85996,73.43,3.12,0,0,0,0
"Andhra_Pradesh",15,"AMADALAVALASA",1985,8,91649,75.15,2.13,63.96,-62.64,-62.64,13.58
"Andhra_Pradesh",15,"AMADALAVALASA",1989,9,112435,73.61,2.27,5.21,-5.21,-5.21,2.1
"Andhra_Pradesh",15,"AMADALAVALASA",1994,10,118259,72.64,2.08,8.33,-3.35,-3.35,-3.35
"Andhra_Pradesh",15,"AMADALAVALASA",1999,11,132314,63.5,2,3.32,-1.49,-1.49,2.8
"Andhra_Pradesh",15,"AMADALAVALASA",2004,12,115874,76.73,2,3.23,-2.71,-2.71,0
"Andhra_Pradesh",15,"CHEEPURUPALLI",2019,15,198988,83.36,2.33,0,0,0,0
"Andhra_Pradesh",15,"YELLAREDDY",2010,13,191237,72.48,2.94,0,0,0,0
"Andhra_Pradesh",16,"GAJAPATHINAGARAM",2014,14,187066,85.38,3.03,0,0,0,0
"Andhra_Pradesh",16,"GAJAPATHINAGARAM",2019,15,198309,86.9,2.27,31.155,-2.32,-2.32,0
"Andhra_Pradesh",16,"KAMAREDDY",2012,13,199249,68.78,2.63,0,0,0,0
"Andhra_Pradesh",16,"SRIKAKULAM",1983,7,107107,67.69,1.96,0,0,0,0
"Andhra_Pradesh",16,"SRIKAKULAM",1985,8,113010,61.5,1.69,83.09,-82.59,-82.59,2.36
"Andhra_Pradesh",16,"SRIKAKULAM",1989,9,140638,70.98,2,28.475,-21.85,-21.85,28.48
"Andhra_Pradesh",16,"SRIKAKULAM",1994,10,154850,72.58,1.96,12.565,9.82,-12.56,-12.56
"Andhra_Pradesh",16,"SRIKAKULAM",1999,11,169971,64.57,2.08,11.045,-9.06,-9.06,8.87
"Andhra_Pradesh",16,"SRIKAKULAM",2004,12,183813,71.33,2,9.31,-6.38,-6.38,0
"Andhra_Pradesh",17,"ETCHERLA",1983,7,90270,67.71,1.92,0,0,0,0
"Andhra_Pradesh",17,"ETCHERLA",1985,8,99138,61.48,1.75,71.61,-71.61,-71.61,0.75
"Andhra_Pradesh",17,"ETCHERLA",1989,9,123520,64.34,2.08,11.87,-11.87,-11.87,8.96
"Andhra_Pradesh",17,"ETCHERLA",1994,10,131332,70.57,1.92,9.53,5.68,-4.13,-4.13
"Andhra_Pradesh",17,"ETCHERLA",1999,11,145554,67.6,2.04,13.47,-9.62,-9.62,12.6
"Andhra_Pradesh",17,"ETCHERLA",2004,12,145610,76.69,1.96,8.47,-7.59999999999999,-7.59999999999999,0
"Andhra_Pradesh",17,"NELLIMARLA",2014,14,189233,87.83,2.86,0,0,0,0
"Andhra_Pradesh",17,"NELLIMARLA",2019,15,201692,87.99,2.38,22.145,-5.57,-5.57,0
"Andhra_Pradesh",17,"NIZAMABAD (URBAN)",2010,13,239887,50.37,2.13,0,0,0,0
"Andhra_Pradesh",18,"CHEEPURUPALLI",1983,7,99058,68.55,2.17,0,0,0,0
"Andhra_Pradesh",18,"CHEEPURUPALLI",1985,8,105834,59.75,1.82,71.715,-34,-34,-28.45
"Andhra_Pradesh",18,"CHEEPURUPALLI",1989,9,131866,67.23,2.04,43.915,-16.31,-16.31,42.96
"Andhra_Pradesh",18,"CHEEPURUPALLI",1994,10,143774,70.49,2.08,4.61,0.82,-3.57,-3.57
"Andhra_Pradesh",18,"CHEEPURUPALLI",1999,11,143406,69.31,3.23,27.45,-17.91,-17.91,-5.75
"Andhra_Pradesh",18,"CHEEPURUPALLI",2004,12,149699,73.63,2.17,28.03,4.29,4.29,0
"Andhra_Pradesh",18,"NIZAMABAD (RURAL)",2009,13,193494,77.93,3.12,0,0,0,0
"Andhra_Pradesh",18,"VIZIANAGARAM",2014,14,216301,71.75,2.44,0,0,0,0
"Andhra_Pradesh",18,"VIZIANAGARAM",2019,15,232031,70.86,2.38,14.35,-5.77,-5.77,0
"Andhra_Pradesh",19,"BALKONDA",2009,13,169042,76,3.57,0,0,0,0
"Andhra_Pradesh",19,"GAJAPATHINAGARAM",1983,7,91792,75.47,3.23,0,0,0,0
"Andhra_Pradesh",19,"GAJAPATHINAGARAM",1985,8,96955,77.38,2.04,65.89,-65.89,-65.89,17.56
"Andhra_Pradesh",19,"GAJAPATHINAGARAM",1989,9,116022,72.81,3.03,33.03,-25.33,-7.7,-25.33
"Andhra_Pradesh",19,"GAJAPATHINAGARAM",1994,10,118891,76.5,2.22,33.445,10.45,18.1,18.1
"Andhra_Pradesh",19,"GAJAPATHINAGARAM",1999,11,118830,76.35,2.94,25.245,-16.65,-16.65,-3.7
